RPM
0
0
0
0
0
0
0
840
1260
1160
1178
1260
1398
1341
1338
1320
1438
1440
1320
1320
1280
1478
1580
1438
1480
1580
1420
1620
1498
1760
1418
1621
1418
1680
1458
1740
1721
1680
1960
1978
2120
1818
1841
2200
1880
2580
1218
680
580
540
559
640
479
640
680
719
740
739
740
719
720
979
920
880
1038
940
999
900
960
920
1078
920
960
1160
1060
1018
940
1018
1061
1058
1060
1080
1178
1120
1160
1180
1158
1180
1158
1180
1301
1178
1140
1278
1200
1258
1281
1238
1460
1380
1438
1340
1320
1400
1298
1320
1378
1340
1421
1458
1440
1498
1440
1380
1601
1558
1580
1760
1878
2082
1800
1860
1758
1020
599
620
580
519
420
539
680
579
700
639
680
680
799
760
719
820
800
800
980
819
940
919
940
879
960
980
900
1020
999
980
1040
1060
1198
1100
1138
1080
1221
1238
1440
1278
1280
1278
1341
1518
1420
1440
1678
1380
1380
1600
1298
1560
1658
1500
1421
1578
1420
1578
1380
1698
1761
1458
1600
1560
1618
1440
1560
1620
1578
1700
1838
1760
2102
1998
2440
2597
2500
1040
600
719
560
620
600
640
619
740
899
980
819
1000
660
939
1141
1018
1120
919
1000
899
860
800
839
780
959
920
1038
920
1018
1080
1221
1058
1000
639
0
0
0
0
0
